,Target_Label,L1_Norm
0,0,47.239540100097656
1,1,7.261007308959961
2,2,44.05160140991211
3,3,51.412662506103516
4,4,53.764183044433594
5,5,45.81990051269531
6,6,50.705684661865234
7,7,48.598777770996094
8,8,54.586769104003906
9,9,34.698272705078125
